Hansard document url,wā,title,section number,utterance number,ingoa kaikōrero,is Māori (%),kōrero waenga
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",7,30,Rt Hon Helen Clark,100.0,"Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",8,25,Darren Hughes,100.0,Tauranga.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",21,1,Hon PAREKURA HOROMIA (Minister of Māori Affairs),100.0,"Mihi kau ana ki a koe, ki a rātou mā o te motu e rongo ake anō ki te kōrero. Mihi atu anō ki a koe, tēnā koe, tēnā koutou."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",25,10,Lindsay Tisch,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",25,18,Hon Rick Barker,100.0,Ha!
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",28,13,Hon Ken Shirley,100.0,More GM.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",34,10,The ASSISTANT SPEAKER (Hon Clem Simich),100.0,"No, no."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",4,167,Rt Hon HELEN CLARK (Prime Minister),100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",9,2,Darren Hughes,100.0,No. 26.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",10,10,Rt Hon Winston Peters,100.0,“Pokare Kare Ana”.
