Date retreived,Hansard document url,wā,title,Te Reo length,total length,is Māori (%),awaiting authorised reo
2017-12-14 18:02:56.339174,/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",3281,36424,0.0900779705688557,
2017-12-14 18:02:57.692846,/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",3345,35758,0.09354550030762347,
2017-12-14 18:02:58.863185,/en/pb/hansard-debates/rhr/document/47HansD_20030213/volume-606-week-14-thursday-13-february-2003,13-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 13 February 2003  ",2075,22131,0.09375988432515477,
2017-12-14 18:02:59.994115,/en/pb/hansard-debates/rhr/document/47HansD_20030218/volume-606-week-15-tuesday-18-february-2003,18-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 February 2003  ",2681,32616,0.08219892077507972,
2017-12-14 18:03:01.240074,/en/pb/hansard-debates/rhr/document/47HansD_20030219/volume-606-week-15-wednesday-19-february-2003,19-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 February 2003  ",2823,33872,0.08334317430325933,
2017-12-14 18:03:02.490025,/en/pb/hansard-debates/rhr/document/47HansD_20030220/volume-606-week-15-thursday-20-february-2003,20-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 February 2003  ",1886,21738,0.08676051154660043,
2017-12-14 18:03:03.627366,/en/pb/hansard-debates/rhr/document/47HansD_20030225/volume-606-week-16-tuesday-25-february-2003,25-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 February 2003  ",2753,31649,0.08698537078580681,
2017-12-14 18:03:04.955883,/en/pb/hansard-debates/rhr/document/47HansD_20030226/volume-606-week-16-wednesday-26-february-2003,26-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 February 2003  ",2910,32016,0.09089205397301349,
2017-12-14 18:03:06.105800,/en/pb/hansard-debates/rhr/document/47HansD_20030227/volume-606-week-16-thursday-27-february-2003,27-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 27 February 2003  ",2105,22330,0.09426780116435289,
2017-12-14 18:03:07.340474,/en/pb/hansard-debates/rhr/document/47HansD_20030304/volume-606-week-17-tuesday-4-march-2003,04-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 4 March 2003  ",2648,30040,0.0881491344873502,
2017-12-14 18:03:08.589003,/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",3144,35548,0.08844379430629008,
2017-12-14 18:03:09.780365,/en/pb/hansard-debates/rhr/document/47HansD_20030306/volume-606-week-17-thursday-6-march-2003,06-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 6 March 2003  ",1765,19952,0.08846230954290296,
2017-12-14 18:03:11.208953,/en/pb/hansard-debates/rhr/document/47HansD_20030318/volume-607-week-18-tuesday-18-march-2003,18-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 March 2003  ",3076,34570,0.08897888342493492,
2017-12-14 18:03:12.476405,/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",3141,33750,0.09306666666666667,
2017-12-14 18:03:13.846203,/en/pb/hansard-debates/rhr/document/47HansD_20030320/volume-607-week-18-thursday-20-march-2003,20-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 March 2003  ",2102,22479,0.09350949775345878,
2017-12-14 18:03:15.055656,/en/pb/hansard-debates/rhr/document/47HansD_20030325/volume-607-week-19-tuesday-25-march-2003,25-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 March 2003  ",2939,32528,0.09035292670929661,
2017-12-14 18:03:16.391780,/en/pb/hansard-debates/rhr/document/47HansD_20030326/volume-607-week-19-wednesday-26-march-2003,26-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 March 2003  ",3113,34465,0.0903235166110547,
2017-12-14 18:03:17.564165,/en/pb/hansard-debates/rhr/document/47HansD_20030327/volume-607-week-19-thursday-27-march-2003,27-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 27 March 2003  ",1719,18424,0.0933022145028224,
2017-12-14 18:03:18.655845,/en/pb/hansard-debates/rhr/document/47HansD_20030401/volume-607-week-20-tuesday-1-april-2003,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003  ",3117,36522,0.08534581895843601,
2017-12-14 18:03:58.313851,/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",6378,68297,0.09338623951271652,
2017-12-14 18:04:22.083313,/en/pb/hansard-debates/rhr/document/47HansD_20030403/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Thursday, 3 April 2003)  ",4118,45391,0.09072283051706286,
2017-12-14 18:05:19.848017,/en/pb/hansard-debates/rhr/document/47HansD_20030408/volume-607-week-21-tuesday-8-april-2003,08-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 8 April 2003  ",2762,27590,0.10010873504893077,
2017-12-14 18:05:21.180429,/en/pb/hansard-debates/rhr/document/47HansD_20030409/volume-607-week-21-wednesday-9-april-2003,09-Apr-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 9 April 2003  ",3327,32006,0.10394925951384115,
2017-12-14 18:05:22.528660,/en/pb/hansard-debates/rhr/document/47HansD_20030410/volume-607-week-21-thursday-10-april-2003,10-Apr-2003  ,"Parliamentary Debates (Hansard) for Thursday, 10 April 2003  ",1820,19508,0.09329505843756408,
2017-12-14 18:05:23.734536,/en/pb/hansard-debates/rhr/document/47HansD_20030429/volume-608-week-22-tuesday-29-april-2003,29-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 29 April 2003  ",2871,32154,0.08928904646389252,
2017-12-14 18:05:25.097321,/en/pb/hansard-debates/rhr/document/47HansD_20030430/volume-608-week-22-wednesday-30-april-2003,30-Apr-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 30 April 2003  ",2960,32567,0.09088955077225412,
2017-12-14 18:05:26.333465,/en/pb/hansard-debates/rhr/document/47HansD_20030501/volume-608-week-22-thursday-1-may-2003,01-May-2003  ,"Parliamentary Debates (Hansard) for Thursday, 1 May 2003  ",2900,21766,0.13323532114306716,
2017-12-14 18:05:28.083417,/en/pb/hansard-debates/rhr/document/47HansD_20030506/volume-608-week-23-tuesday-6-may-2003,06-May-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 6 May 2003  ",6613,70462,0.09385200533620959,
2017-12-14 18:05:30.017160,/en/pb/hansard-debates/rhr/document/47HansD_20030507/volume-608-week-23-wednesday-7-may-2003,07-May-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 7 May 2003  ",3410,35952,0.09484868713840676,
